
running 1 test
169 0.062296324 0.005631036 0.000793347
222 0.170733181 0.013539625 0.001824032
158 0.050747111 0.004709554 0.000713077
112 0.017583942 0.002137309 0.000203009
74 0.004968946 0.001192523 0.000131428
138 0.041410448 0.003441874 0.000595603
28 0.000472064 0.000149079 0.000013040
120 0.024442834 0.002488892 0.000312835
238 0.180591604 0.016186146 0.002703891
89 0.012496045 0.001200152 0.000116137
90 0.011254478 0.001626938 0.000137576
8 0.000010969 0.000006005 0.000001932
198 0.113142286 0.010556558 0.001735955
189 0.085613942 0.007097674 0.001003557
241 0.195125665 0.018565573 0.004299755
66 0.004204673 0.000940913 0.000093435
246 0.215012622 0.017496243 0.002786387
42 0.001367012 0.000326415 0.000029150
228 0.141824388 0.014298170 0.002645455
183 0.081969146 0.006171584 0.000990203
108 0.016336306 0.001792495 0.000194933
202 0.094062462 0.007556648 0.001709472
41 0.000977325 0.000308657 0.000033938
141 0.032984364 0.004290128 0.000595509
155 0.042250397 0.004254951 0.000723158
174 0.057389769 0.007881222 0.001016207
212 0.135347784 0.013312643 0.002114490
159 0.071489265 0.006948528 0.000926029
55 0.001713518 0.000393250 0.000034967
146 0.038285814 0.003620138 0.000522190
53 0.001504990 0.000348786 0.000031134
60 0.002428948 0.000780926 0.000073916
24 0.000301484 0.000104392 0.000011721
225 0.149169165 0.010587707 0.002345261
166 0.054313973 0.007213082 0.001044673
115 0.020293405 0.002216419 0.000257149
176 0.064014547 0.006151767 0.000793217
210 0.110497500 0.009757819 0.001894532
70 0.004878170 0.000744424 0.000088357
187 0.073078690 0.008484063 0.001016917
108 0.016411955 0.001828567 0.000217889
111 0.016399520 0.001939910 0.000268246
9 0.000013156 0.000007676 0.000002356
8 0.000009032 0.000005866 0.000001967
185 0.079140101 0.007966623 0.001478715
209 0.112029614 0.008319885 0.001305980
42 0.000759960 0.000220180 0.000021240
126 0.025006320 0.002600238 0.000314781
136 0.025333410 0.004837413 0.000632879
85 0.006983318 0.001103450 0.000132739
166 0.053978055 0.004628336 0.000640452
240 0.174992662 0.014570013 0.002443797
108 0.016350436 0.002936883 0.000261832
233 0.163675994 0.014313695 0.002091256
103 0.011729900 0.001626300 0.000190143
